matcher,pattern,id_text,Designation,lemma
Two Tier,PN N DET PN,P342478,"VS 15, 25-RE",Idat-Anu[00]PN māru[son]N ša[of]DET X-Anu[00]PN
Two Tier,PN N DET PN,P342478,"VS 15, 25-RE",Uabu-Anu[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342478,"VS 15, 25-RE",Sumuttu-Anu[00]PN māru[son]N ša[of]DET Anu-x-nu[00]PN
Two Tier,PN N DET PN,P342478,"VS 15, 25-RE",Uabu-Anu[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342478,"VS 15, 25-RE",Philippos[00]PN māru[son]N ša[of]DET Anu-ab-uṣur[00]PN
Two Tier,PN N DET PN,P342478,"VS 15, 25-RE",Anu-bullissu[00]PN māru[son]N ša[of]DET Anu-ab-uṣur[00]PN
Two Tier,PN N DET PN,P342478,"VS 15, 25-RE",X-su[00]PN māru[son]N ša[of]DET Anu-bullissu[00]PN
Two Tier,PN N DET PN,P342478,"VS 15, 25-RE",Anu-bullissu[00]PN māru[son]N ša[of]DET Anu-ab-uṣur[00]PN
Two Tier,PN N DET PN,P342478,"VS 15, 25-RE",Philippos[00]PN māru[son]N ša[of]DET Anu-ab-uṣur[00]PN
Two Tier,PN N DET PN,P342478,"VS 15, 25-RE",X[00]PN māru[son]N ša[of]DET X-nu[00]PN
Two Tier,PN N DET PN,P342478,"VS 15, 25-RE",X[00]PN māru[son]N ša[of]DET Dumqi-Anu[00]PN
Two Tier,PN N DET PN,P342478,"VS 15, 25-RE",X-uṣur[00]PN māru[son]N ša[of]DET Ina-qibit-Anu[00]PN
Two Tier,PN N DET PN,P342478,"VS 15, 25-RE",X-Anu[00]PN māru[son]N ša[of]DET Anu-mukin-apli[00]PN
Two Tier,PN N DET PN,P342478,"VS 15, 25-RE",Illut-Anu[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342478,"VS 15, 25-RE",Murašu[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342478,"VS 15, 25-RE",X-Anu[00]PN māru[son]N ša[of]DET X[00]PN
Two Tier,PN N DET PN,P342479,"VS 15, 26-P",Anu-uballiṭ[00]PN māru[son]N ša[of]DET Nidintu-Anu[00]PN
Two Tier,PN N DET PN,P342479,"VS 15, 26-P",Anu-šum-lišir[00]PN māru[son]N ša[of]DET Rabi-Anu[00]PN
Two Tier,PN N DET PN,P342479,"VS 15, 26-P",Mušallim-Anu[00]PN māru[son]N ša[of]DET Anu-uballiṭ[00]PN
Two Tier,PN N DET PN,P342479,"VS 15, 26-P",Anu-šum-lišir[00]PN māru[son]N ša[of]DET Rabi-Anu[00]PN
Two Tier,PN N DET PN,P342479,"VS 15, 26-P",Mušallim-Anu[00]PN māru[son]N ša[of]DET Anu-uballiṭ[00]PN
Two Tier,PN N DET PN,P342479,"VS 15, 26-P",Anu-šum-lišir[00]PN māru[son]N ša[of]DET Rabi-Anu[00]PN
Two Tier,PN N DET PN,P342480,"VS 15, 27-RE",Anu-ah-iddin[00]PN māru[son]N ša[of]DET Rihat-kitti[00]PN
